City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Polovinnoye,RU,54.7914,65.9864,-2.88,99,100,1.99,overcast clouds
321,Xining,CN,36.6167,101.7667,10.31,70,91,3.49,overcast clouds
322,Yalutorovsk,RU,56.6536,66.3006,-5.49,100,100,1.59,overcast clouds
323,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,80,75,13.8,broken clouds
324,Flagstaff,US,35.1981,-111.6513,58.89,15,0,5.75,clear sky
325,Garmsar,IR,35.2182,52.3409,46.51,60,4,5.32,clear sky
326,Shelburne,CA,44.0787,-80.2041,13.89,79,100,8.52,overcast clouds
327,Umm Kaddadah,SD,13.6017,26.6876,60.37,19,3,11.61,clear sky
328,Qaanaaq,GL,77.484,-69.3632,-19.93,47,0,8.59,clear sky
329,Ranibennur,IN,14.6167,75.6167,68.11,47,4,5.01,clear sky
330,Pangnirtung,CA,66.1451,-65.7125,-15.21,100,100,5.73,overcast clouds
331,Dongkan,CN,33.9997,119.8308,37.9,89,88,4.25,light rain
332,Itarema,BR,-2.9248,-39.9167,79.75,78,97,9.98,overcast clouds
333,Charters Towers,AU,-20.1,146.2667,75.54,68,0,12.91,clear sky
334,Lakes Entrance,AU,-37.8811,147.981,68.16,65,2,6.22,clear sky
335,Khandyga,RU,62.6667,135.6,-41.58,100,99,2.19,overcast clouds
336,Sydney,AU,-33.8679,151.2073,73.35,82,75,4.61,broken clouds
337,Alyangula,AU,-13.8483,136.4192,83.73,67,34,8.28,scattered clouds
338,Itajai,BR,-26.9078,-48.6619,79.29,73,40,11.5,scattered clouds
339,Chabahar,IR,25.2919,60.643,69.8,68,0,9.35,clear sky
340,Turayf,SA,31.6725,38.6637,41.25,65,0,4.61,clear sky
